,Thousands of Passengers,1st Diff,2nd Diff,Seasonality,Forecast
01-01-1949,112,,,,
01-02-1949,118,6,,,
01-03-1949,132,14,8,,
01-04-1949,129,-3,-17,,
01-05-1949,121,-8,-5,,
01-06-1949,135,14,22,,
01-07-1949,148,13,-1,,
01-08-1949,148,0,-13,,
01-09-1949,136,-12,-12,,
01-10-1949,119,-17,-5,,
01-11-1949,104,-15,2,,
01-12-1949,118,14,29,,
01-01-1950,115,-3,-17,3,
01-02-1950,126,11,14,8,
01-03-1950,141,15,4,9,
01-04-1950,135,-6,-21,6,
01-05-1950,125,-10,-4,4,
01-06-1950,149,24,34,14,
01-07-1950,170,21,-3,22,
01-08-1950,170,0,-21,22,
01-09-1950,158,-12,-12,22,
01-10-1950,133,-25,-13,14,
01-11-1950,114,-19,6,10,
01-12-1950,140,26,45,22,
01-01-1951,145,5,-21,30,
01-02-1951,150,5,0,24,
01-03-1951,178,28,23,37,
01-04-1951,163,-15,-43,28,
01-05-1951,172,9,24,47,
01-06-1951,178,6,-3,29,
01-07-1951,199,21,15,29,
01-08-1951,199,0,-21,29,
01-09-1951,184,-15,-15,26,
01-10-1951,162,-22,-7,29,
01-11-1951,146,-16,6,32,
01-12-1951,166,20,36,26,
01-01-1952,171,5,-15,26,
01-02-1952,180,9,4,30,
01-03-1952,193,13,4,15,
01-04-1952,181,-12,-25,18,
01-05-1952,183,2,14,11,
01-06-1952,218,35,33,40,
01-07-1952,230,12,-23,31,
01-08-1952,242,12,0,43,
01-09-1952,209,-33,-45,25,
01-10-1952,191,-18,15,29,
01-11-1952,172,-19,-1,26,
01-12-1952,194,22,41,28,
01-01-1953,196,2,-20,25,
01-02-1953,196,0,-2,16,
01-03-1953,236,40,40,43,
01-04-1953,235,-1,-41,54,
01-05-1953,229,-6,-5,46,
01-06-1953,243,14,20,25,
01-07-1953,264,21,7,34,
01-08-1953,272,8,-13,30,
01-09-1953,237,-35,-43,28,
01-10-1953,211,-26,9,20,
01-11-1953,180,-31,-5,8,
01-12-1953,201,21,52,7,
01-01-1954,204,3,-18,8,
01-02-1954,188,-16,-19,-8,
01-03-1954,235,47,63,-1,
01-04-1954,227,-8,-55,-8,
01-05-1954,234,7,15,5,
01-06-1954,264,30,23,21,
01-07-1954,302,38,8,38,
01-08-1954,293,-9,-47,21,
01-09-1954,259,-34,-25,22,
01-10-1954,229,-30,4,18,
01-11-1954,203,-26,4,23,
01-12-1954,229,26,52,28,
01-01-1955,242,13,-13,38,
01-02-1955,233,-9,-22,45,
01-03-1955,267,34,43,32,
01-04-1955,269,2,-32,42,
01-05-1955,270,1,-1,36,
01-06-1955,315,45,44,51,
01-07-1955,364,49,4,62,
01-08-1955,347,-17,-66,54,
01-09-1955,312,-35,-18,53,
01-10-1955,274,-38,-3,45,
01-11-1955,237,-37,1,34,
01-12-1955,278,41,78,49,
01-01-1956,284,6,-35,42,
01-02-1956,277,-7,-13,44,
01-03-1956,317,40,47,50,
01-04-1956,313,-4,-44,44,
01-05-1956,318,5,9,48,
01-06-1956,374,56,51,59,
01-07-1956,413,39,-17,49,
01-08-1956,405,-8,-47,58,
01-09-1956,355,-50,-42,43,
01-10-1956,306,-49,1,32,
01-11-1956,271,-35,14,34,
01-12-1956,306,35,70,28,
01-01-1957,315,9,-26,31,
01-02-1957,301,-14,-23,24,
01-03-1957,356,55,69,39,
01-04-1957,348,-8,-63,35,
01-05-1957,355,7,15,37,
01-06-1957,422,67,60,48,
01-07-1957,465,43,-24,52,
01-08-1957,467,2,-41,62,
01-09-1957,404,-63,-65,49,
01-10-1957,347,-57,6,41,
01-11-1957,305,-42,15,34,
01-12-1957,336,31,73,30,
01-01-1958,340,4,-27,25,
01-02-1958,318,-22,-26,17,
01-03-1958,362,44,66,6,
01-04-1958,348,-14,-58,0,
01-05-1958,363,15,29,8,
01-06-1958,435,72,57,13,
01-07-1958,491,56,-16,26,
01-08-1958,505,14,-42,38,
01-09-1958,404,-101,-115,0,
01-10-1958,359,-45,56,12,
01-11-1958,310,-49,-4,5,
01-12-1958,337,27,76,1,
01-01-1959,360,23,-4,20,
01-02-1959,342,-18,-41,24,
01-03-1959,406,64,82,44,
01-04-1959,396,-10,-74,48,
01-05-1959,420,24,34,57,
01-06-1959,472,52,28,37,
01-07-1959,548,76,24,57,
01-08-1959,559,11,-65,54,
01-09-1959,463,-96,-107,59,
01-10-1959,407,-56,40,48,
01-11-1959,362,-45,11,52,
01-12-1959,405,43,88,68,
01-01-1960,417,12,-31,57,
01-02-1960,391,-26,-38,49,
01-03-1960,419,28,54,13,
01-04-1960,461,42,14,65,
01-05-1960,472,11,-31,52,
01-06-1960,535,63,52,63,
01-07-1960,622,87,24,74,
01-08-1960,606,-16,-103,47,
01-09-1960,508,-98,-82,45,
01-10-1960,461,-47,51,54,
01-11-1960,390,-71,-24,28,
01-12-1960,432,42,113,27,
01-01-1961,,,,,454.07028
01-02-1961,,,,,421.7955334
01-03-1961,,,,,469.9981071
01-04-1961,,,,,492.1945313
01-05-1961,,,,,515.9578196
01-06-1961,,,,,574.2187072
01-07-1961,,,,,669.65377
01-08-1961,,,,,657.1451266
01-09-1961,,,,,554.7436729
01-10-1961,,,,,499.2049546
01-11-1961,,,,,433.8211536
01-12-1961,,,,,476.971261
01-01-1962,,,,,499.2343966
01-02-1962,,,,,464.2761141
01-03-1962,,,,,509.7130535
01-04-1962,,,,,540.426918
01-05-1962,,,,,563.4717964
01-06-1962,,,,,626.7791809
01-07-1962,,,,,727.2348059
01-08-1962,,,,,712.1759227
01-09-1962,,,,,603.1123053
01-10-1962,,,,,547.1020229
01-11-1962,,,,,475.2753541
01-12-1962,,,,,520.5600812
01-01-1963,,,,,544.7981941
01-02-1963,,,,,507.098329
01-03-1963,,,,,556.1837451
01-04-1963,,,,,587.1219616
01-05-1963,,,,,613.1804867
01-06-1963,,,,,678.8504519
01-07-1963,,,,,785.0713683
01-08-1963,,,,,769.6324295
01-09-1963,,,,,654.4338963
01-10-1963,,,,,595.5565604
01-11-1963,,,,,520.9914187
01-12-1963,,,,,568.1887385
01-01-1964,,,,,593.7642418
01-02-1964,,,,,553.4008142
01-03-1964,,,,,604.058823
01-04-1964,,,,,637.8761062
01-05-1964,,,,,665.7388484
01-06-1964,,,,,734.6356441
01-07-1964,,,,,846.3628856
01-08-1964,,,,,829.8697673
01-09-1964,,,,,708.3713678
01-10-1964,,,,,647.3958969
01-11-1964,,,,,568.9207896
01-12-1964,,,,,618.1019408
01-01-1965,,,,,645.2118003
01-02-1965,,,,,602.1669645
01-03-1965,,,,,655.0501545
01-04-1965,,,,,690.9040462
01-05-1965,,,,,720.9499435
01-06-1965,,,,,792.7961717
01-07-1965,,,,,910.1025728
01-08-1965,,,,,892.7709104
01-09-1965,,,,,765.0350109
01-10-1965,,,,,701.7222514
01-11-1965,,,,,619.7140988
01-12-1965,,,,,670.8538572
